game_id,team_id,team_abbreviation,team_city,player_id,player_name,start_position,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,to_,pf,pts,plus_minus
22300001,1610612747,LAL,Los Angeles,2544,LeBron James,F,35.5,8,15,0.533,1,4,0.250,4,5,0.800,1,6,7,8,1,1,3,2,21,12
22300001,1610612747,LAL,Los Angeles,2544,LeBron James,F,35.5,8,15,0.533,1,4,0.250,4,5,0.800,1,6,7,8,1,1,3,2,21,12
22300001,1610612747,LAL,Los Angeles,203076,Anthony Davis,C,32.0,10,18,0.556,0,1,0.000,6,8,0.750,3,9,12,2,1,3,2,3,26,12
22300001,1610612747,LAL,Los Angeles,203076,Anthony Davis,C,32.0,10,18,0.556,0,1,0.000,6,8,0.750,3,9,12,2,1,3,2,3,26,12
22300001,1610612752,GSW,Golden State,201939,Stephen Curry,G,38.0,11,22,0.500,5,11,0.455,4,4,1.000,0,4,4,6,2,0,4,1,31,-12
22300001,1610612752,GSW,Golden State,201939,Stephen Curry,G,38.0,11,22,0.500,5,11,0.455,4,4,1.000,0,4,4,6,2,0,4,1,31,-12
22300001,1610612752,GSW,Golden State,2738,Klay Thompson,G,30.0,7,16,0.438,4,9,0.444,0,0,0.000,0,3,3,2,1,0,1,2,18,-12
22300002,1610612738,BOS,Boston,1628369,Jayson Tatum,F,37.0,9,20,0.450,3,8,0.375,7,8,0.875,1,7,8,4,1,2,2,2,28,8
22300002,1610612738,BOS,Boston,1628369,Jayson Tatum,F,37.0,9,20,0.450,3,8,0.375,7,8,0.875,1,7,8,4,1,2,2,2,28,8
22300002,1610612738,BOS,Boston,1628384,Jaylen Brown,G,34.0,8,17,0.471,2,6,0.333,5,6,0.833,0,5,5,3,2,0,2,3,23,8
22300002,1610612741,CHI,Chicago,203897,Zach LaVine,G,36.0,10,21,0.476,3,7,0.429,6,7,0.857,0,4,4,5,1,0,3,2,29,-8
22300002,1610612741,CHI,Chicago,203897,Zach LaVine,G,36.0,10,21,0.476,3,7,0.429,6,7,0.857,0,4,4,5,1,0,3,2,29,-8
